"provider_id","source_release_id","usdot","legal_name","dba_name","display_name","usdot_status","carrier_operation","state","city","phone","power_units","drivers","motor_vehicle_cargo_reported","published_at","email","physical_address","mailing_address","classification","reason_codes","conflicts","source_release_ids","authority_rows","history_rows","insurance_rows","docket_rows","sample_group","dba_display_pass","official_trace_pass","hhg_classification"
"c794ef6f-29ad-5785-a60f-b0d9a79fd673","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3047282","E & F TRANSPORT INC","","E & F TRANSPORT INC","A","A","OH","TIPP CITY","4438395336","1","1","true","Sun Aug 16 2026 17:00:16 GMT-0400 (Eastern Daylight Time)","eandftransportinc@gmail.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","2","1","AUTO_TRANSPORT_CARRIER","true","true",""
"a408e986-f2bd-5dbc-98a2-e7817f7be2e3","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3047352","TREVINOS MOTOR TRANSPORT LLC","","TREVINOS MOTOR TRANSPORT LLC","A","C","TX","GRAND PRAIRIE","4698701445","2","1","true","Sun Aug 16 2026 17:00:16 GMT-0400 (Eastern Daylight Time)","trevinosmtrans@yahoo.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","2","1","AUTO_TRANSPORT_CARRIER","true","true",""
"d3429da6-6f66-5e4b-a113-fed167c31e91","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3047698","FIRST CLASS TRANSPORTATION LLC","","FIRST CLASS TRANSPORTATION LLC","A","A","WA","FEDERAL WAY","2536321790","2","2","true","Sun Aug 16 2026 17:00:16 GMT-0400 (Eastern Daylight Time)","kemrannurfct@gmail.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","1","1","AUTO_TRANSPORT_CARRIER","true","true",""
"2735cabb-4f92-5329-aac8-64e0a2803d23","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3047885","UB TRANS INC","","UB TRANS INC","A","A","IL","AURORA","5404543533","1","1","true","Sun Aug 16 2026 17:00:16 GMT-0400 (Eastern Daylight Time)","tulgaatrans@gmail.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","1","1","AUTO_TRANSPORT_CARRIER","true","true",""
"9265a8e9-8612-590e-8906-2a27d1d39016","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3051817","ONON LLC","","ONON LLC","A","A","IL","ELGIN","2248303555","3","3","true","Sun Aug 16 2026 17:00:16 GMT-0400 (Eastern Daylight Time)","ONONLLC@GMAIL.COM","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","1","2","AUTO_TRANSPORT_CARRIER","true","true",""
"7a811d50-4384-5f79-8a24-cfa3bc19bca8","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3056600","GALTEX AUTO LLC","","GALTEX AUTO LLC","A","A","TX","TEXAS CITY","","1","1","true","Sun Aug 16 2026 17:00:17 GMT-0400 (Eastern Daylight Time)","dbozhuk@yahoo.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","1","1","AUTO_TRANSPORT_CARRIER","true","true",""
"0c4a29db-5118-5a93-8d59-53cb926f9bea","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3058307","FOSTER TRUCKING LLC","","FOSTER TRUCKING LLC","A","A","SD","BELLE FOURCHE","6055696985","1","1","true","Sun Aug 16 2026 17:00:17 GMT-0400 (Eastern Daylight Time)","fostercurt1993@gmail.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","1","1","AUTO_TRANSPORT_CARRIER","true","true",""
"b0740655-7a70-560c-b439-295a28c9dda5","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3059572","SVT TRANSPORT LLC","","SVT TRANSPORT LLC","A","A","MO","PIERCE CITY","4173426541","16","19","true","Sun Aug 16 2026 17:00:17 GMT-0400 (Eastern Daylight Time)","SCOTTVALTERRY@GMAIL.COM","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","2","1","AUTO_TRANSPORT_CARRIER","true","true",""
"2f0e9b53-d071-5b80-93e1-25ae4980fa28","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3060379","BLACKLINE TRANSPORTATION LLC","BLACKLINE TRANSPORTATION","BLACKLINE TRANSPORTATION","A","A","CA","SAN DIEGO","8589001002","2","2","true","Sun Aug 16 2026 17:00:17 GMT-0400 (Eastern Daylight Time)","tony@blacklinetransportation.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","2","1","AUTO_TRANSPORT_CARRIER","true","true",""
"4b39d8a9-6ccc-5d68-b4bd-c351f6e6f9d0","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3062006","B & F HAULING LLC","","B & F HAULING LLC","A","A","GA","FT GAINES","9045240591","1","1","true","Sun Aug 16 2026 17:00:17 GMT-0400 (Eastern Daylight Time)","bfhaulingllc21@gmail.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","2","1","AUTO_TRANSPORT_CARRIER","true","true",""
"8d8d5e23-b309-52fe-8ab0-90c8973d2455","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3063860","I&S TRANSPORTATION LLC","","I&S TRANSPORTATION LLC","A","A","OH","CUYAHOGA FALLS","7084871865","99","142","true","Sun Aug 16 2026 17:00:18 GMT-0400 (Eastern Daylight Time)","safety@instransportation.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","2","1","1","AUTO_TRANSPORT_CARRIER","true","true",""
"4b29226b-fa00-589e-8960-a0a8af296e7f","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3064010","ADAM KANE TRANSPORT LLC","AKT","AKT","A","A","PA","SALTILLO","8143862246","1","1","true","Sun Aug 16 2026 17:00:18 GMT-0400 (Eastern Daylight Time)","adamkanetransport@gmail.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","1","1","AUTO_TRANSPORT_CARRIER","true","true",""
"9f5d7997-a02a-5efd-817c-595b31e2d4a9","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","3065026","D&R MORGAN TRANSPORT INC","","D&R MORGAN TRANSPORT INC","A","A","NC","WENDELL","9196718189","1","1","true","Sun Aug 16 2026 17:00:18 GMT-0400 (Eastern Daylight Time)","dnrmorgantransportinc@aol.com","[object Object]","[object Object]","AUTO_TRANSPORT_CARRIER","FMCSA_MOTOR_VEHICLES_CARGO_REPORTED,ACTIVE_PROPERTY_CARRIER_AUTHORITY","","8d3fcdd6-9f00-4bb3-b960-ab5e74b9f5cb","1","1","1","1","AUTO_TRANSPORT_CARRIER","true","true",""
