"state","official_id","official_status","legal_name","dba","usdot","ubi","official_detail","qa_result","notes"
"WA","22841","ACTIVE","7Lenora, LLC","DonateKitsap","4004306","604606868","https://www.utc.wa.gov/company/49374","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","19874","ACTIVE","A Perfect Mover LLC","A Perfect Mover","3264337","604321980","https://www.utc.wa.gov/company/46379","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","14785","ACTIVE","Access Gentle Moving Corp.","Access Gentle Moving","1370158","602502002","https://www.utc.wa.gov/company/41220","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","16002","ACTIVE","Air Van Moving & Storage Inc.","Air Van NorthAmerican","1215456","600464824","https://www.utc.wa.gov/company/42437","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","22528","ACTIVE","Akerman, Paul James","PaultheMover","4086136","604812709","https://www.utc.wa.gov/company/49057","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","3152","ACTIVE","Alaska Coast Transport, Inc.","Act Port Services","230283","600497199","https://www.utc.wa.gov/company/29587","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","15485","ACTIVE","Alaska Seavan Inc.","Mitchell Moving & Storage","12103","600020390","https://www.utc.wa.gov/company/41920","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","14870","ACTIVE","All Ready Moving, LLC","All Ready Moving & Storage","2083124","602341394","https://www.utc.wa.gov/company/41305","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","17298","ACTIVE","A2B Moving & Storage LLC","","1941425","603335999","https://www.utc.wa.gov/company/43780","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","13593","ACTIVE","ABLE MOVING, INC.","","1910143","602410289","https://www.utc.wa.gov/company/40028","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","22909","ACTIVE","Accurate NW Moves LLC","","3700672","604728226","https://www.utc.wa.gov/company/49443","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","11429","ACTIVE","ACE Relocation Systems, Inc.","","1052359","313012882","https://www.utc.wa.gov/company/37864","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","16430","ACTIVE","Adam's Moving and Delivery Service, LLC","","1594129","602536995","https://www.utc.wa.gov/company/42865","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","23676","ACTIVE","Affordable Movers LLC","","4204695","604154680","https://www.utc.wa.gov/company/50219","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","24625","ACTIVE","ALH Transportation LLC","","4183352","605396112","https://www.utc.wa.gov/company/51178","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","15850","ACTIVE","All Star Transfer, Laron Williams Inc.","","533989","601550951","https://www.utc.wa.gov/company/42285","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","13663","ACTIVE","Alliance Moving, Inc.","","1127257","602286211","https://www.utc.wa.gov/company/40098","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","20607","ACTIVE","Americam Movers LLC","","3288640","604430839","https://www.utc.wa.gov/company/47118","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","16079","ACTIVE","American Moving Co Inc","","1009960","602753501","https://www.utc.wa.gov/company/42514","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","17751","ACTIVE","ANC Movers Inc.","","2877082","603525219","https://www.utc.wa.gov/company/44237","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","16550","INACTIVE","1 Heart Movers, LLC","","2523529","603412472","https://www.utc.wa.gov/company/43026","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","18157","UNREGULATED","12 Man Movers","","","","https://www.utc.wa.gov/company/44645","STATE_REVIEW","Official UTC source; active status is not inferred from name"
"WA","19957","INACTIVE","1st Choice Movers LLC","","3109300","604239000","https://www.utc.wa.gov/company/46462","IDENTIFIER_TRACEABLE","Official UTC source; active status is not inferred from name"
"WA","18160","UNREGULATED","2 Buff Guys Moving and Dump","","","","https://www.utc.wa.gov/company/44648","STATE_REVIEW","Official UTC source; active status is not inferred from name"
"WA","8452","INACTIVE","24 EXPRESS, INC.","","","602519006","https://www.utc.wa.gov/company/34887","STATE_REVIEW","Official UTC source; active status is not inferred from name"
"FL","0a6a9d1f-c27c-556f-83e9-d00632b84a3f","STATE_VERIFIED_LOCAL_MOVER","","","2516919","","FDACS release retained in move_v2","DERIVED_PLACEMENT_REVIEWED","106 mile fallback; 32 county relationships; Florida-clipped"
"FL","a321f9a5-1d57-5644-a2e7-ab8c147658a7","STATE_VERIFIED_LOCAL_MOVER","","","971686","","FDACS release retained in move_v2","DERIVED_PLACEMENT_REVIEWED","45 mile fallback; 9 county relationships; Florida-clipped"
"FL","e56db740-a266-5fb7-8556-c2cc39b4e222","STATE_VERIFIED_LOCAL_MOVER","","","1883785","","FDACS release retained in move_v2","DERIVED_PLACEMENT_REVIEWED","60.2 mile fallback; 7 county relationships; Florida-clipped"
"FL","e8395ea9-7a66-565c-8e56-833214b5b910","STATE_VERIFIED_LOCAL_MOVER","","","2127385","","FDACS release retained in move_v2","DERIVED_PLACEMENT_REVIEWED","80.4 mile fallback; 16 county relationships; Florida-clipped"
