type,input,status,providers,explanation
ZIP,98101,GEOGRAPHIC_ZCTA,4,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,98004,GEOGRAPHIC_ZCTA,4,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,98402,GEOGRAPHIC_ZCTA,4,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,98201,GEOGRAPHIC_ZCTA,4,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,99201,GEOGRAPHIC_ZCTA,0,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,33101,GEOGRAPHIC_ZCTA,1,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,33139,GEOGRAPHIC_ZCTA,1,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,33401,GEOGRAPHIC_ZCTA,1,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,33602,GEOGRAPHIC_ZCTA,3,"Typed ZIP matched a 2020 Census ZCTA; ZCTA is not a USPS delivery boundary."
ZIP,99999,UNSUPPORTED_NON_GEOGRAPHIC,0,"No geographic 2020 Census ZCTA is available for this typed ZIP; no area was inferred."
COUNTY,WA-53033,GEOGRAPHIC_COUNTY,4,"Precomputed origin placement"
COUNTY,WA-53053,GEOGRAPHIC_COUNTY,4,"Precomputed origin placement"
COUNTY,WA-53061,GEOGRAPHIC_COUNTY,4,"Precomputed origin placement"
COUNTY,WA-53063,GEOGRAPHIC_COUNTY,0,"Precomputed origin placement"
COUNTY,WA-53051,GEOGRAPHIC_COUNTY,0,"Precomputed origin placement"
COUNTY,FL-12086,GEOGRAPHIC_COUNTY,1,"Precomputed origin placement"
COUNTY,FL-12011,GEOGRAPHIC_COUNTY,1,"Precomputed origin placement"
COUNTY,FL-12099,GEOGRAPHIC_COUNTY,1,"Precomputed origin placement"
COUNTY,FL-12095,GEOGRAPHIC_COUNTY,2,"Precomputed origin placement"
COUNTY,FL-12057,GEOGRAPHIC_COUNTY,3,"Precomputed origin placement"
